DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-05-20                16:46:35.802              139.36569215              3344.776612               140.36569215              1526834795.802            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9525769283E+000         1.9825409403E+000         4.1171424460E+002         4.1962689249E+002         1.2314868565E+000         1.5356454994E+000         
2018-05-20                16:46:38.410              139.36572234              3344.777336               140.36572234              1526834798.410            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9525769283E+000         1.9836058754E+000         4.1171424460E+002         4.1971241624E+002         1.2312251938E+000         1.5353309490E+000         
2018-05-20                16:46:39.917              139.36573978              3344.777755               140.36573978              1526834799.917            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9523877324E+000         1.9836058754E+000         4.1171424460E+002         4.1971241624E+002         1.2312251938E+000         1.5353309490E+000         
2018-05-20                16:46:40.871              139.36575082              3344.778020               140.36575082              1526834800.871            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9523877324E+000         1.9836058754E+000         4.1168774679E+002         4.1971241624E+002         1.2312251938E+000         1.5353309490E+000         
2018-05-20                16:46:44.026              139.36578735              3344.778896               140.36578735              1526834804.027            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9523877324E+000         1.9833866495E+000         4.1168774679E+002         4.1967843364E+002         1.2293728570E+000         1.5331040821E+000         
2018-05-20                16:46:45.694              139.36580666              3344.779360               140.36580666              1526834805.695            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9526126946E+000         1.9833866495E+000         4.1168774679E+002         4.1967843364E+002         1.2293728570E+000         1.5331040821E+000         
2018-05-20                16:46:46.634              139.36581753              3344.779621               140.36581753              1526834806.635            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9526126946E+000         1.9833866495E+000         4.1164804018E+002         4.1967843364E+002         1.2293728570E+000         1.5331040821E+000         
2018-05-20                16:46:50.006              139.36585656              3344.780557               140.36585656              1526834810.007            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9526126946E+000         1.9835978090E+000         4.1164804018E+002         4.1963347598E+002         1.2298660732E+000         1.5336970460E+000         
2018-05-20                16:46:51.588              139.36587487              3344.780997               140.36587487              1526834811.589            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9525500629E+000         1.9835978090E+000         4.1164804018E+002         4.1963347598E+002         1.2298660732E+000         1.5336970460E+000         
2018-05-20                16:46:52.532              139.36588580              3344.781259               140.36588580              1526834812.533            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9525500629E+000         1.9835978090E+000         4.1163644684E+002         4.1963347598E+002         1.2298660732E+000         1.5336970460E+000         
2018-05-20                16:46:55.789              139.36592350              3344.782164               140.36592350              1526834815.790            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9525500629E+000         1.9835338848E+000         4.1163644684E+002         4.1962158074E+002         1.2293494975E+000         1.5330759980E+000         
2018-05-20                16:46:59.177              139.36596271              3344.783105               140.36596271              1526834819.178            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9526923380E+000         1.9835338848E+000         4.1163644684E+002         4.1962158074E+002         1.2293494975E+000         1.5330759980E+000         
2018-05-20                16:47:18.051              139.36618115              3344.788348               140.36618115              1526834838.051            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9526923380E+000         1.9835338848E+000         4.1162629259E+002         4.1962158074E+002         1.2293494975E+000         1.5330759980E+000         
2018-05-20                16:47:20.634              139.36621104              3344.789065               140.36621104              1526834840.634            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9526923380E+000         1.9836453633E+000         4.1162629259E+002         4.1960270659E+002         1.2272805793E+000         1.5305884804E+000         
2018-05-20                16:47:22.134              139.36622840              3344.789482               140.36622840              1526834842.134            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9525440618E+000         1.9836453633E+000         4.1162629259E+002         4.1960270659E+002         1.2272805793E+000         1.5305884804E+000         
2018-05-20                16:47:23.055              139.36623907              3344.789738               140.36623907              1526834843.056            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9525440618E+000         1.9836453633E+000         4.1160244995E+002         4.1960270659E+002         1.2272805793E+000         1.5305884804E+000         
2018-05-20                16:47:26.275              139.36627633              3344.790632               140.36627633              1526834846.275            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9525440618E+000         1.9834742608E+000         4.1160244995E+002         4.1957312222E+002         1.2277476245E+000         1.5311500471E+000         
2018-05-20                16:47:27.951              139.36629574              3344.791098               140.36629574              1526834847.952            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9527314065E+000         1.9834742608E+000         4.1160244995E+002         4.1957312222E+002         1.2277476245E+000         1.5311500471E+000         
2018-05-20                16:47:28.900              139.36630671              3344.791361               140.36630671              1526834848.900            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9527314065E+000         1.9834742608E+000         4.1159899242E+002         4.1957312222E+002         1.2277476245E+000         1.5311500471E+000         
2018-05-20                16:47:32.444              139.36634773              3344.792346               140.36634773              1526834852.444            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9527314065E+000         1.9836650570E+000         4.1159899242E+002         4.1956972248E+002         1.2273184274E+000         1.5306339888E+000         
2018-05-20                16:47:35.698              139.36638541              3344.793250               140.36638541              1526834855.699            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9527069747E+000         1.9836650570E+000         4.1159899242E+002         4.1956972248E+002         1.2273184274E+000         1.5306339888E+000         
2018-05-20                16:47:54.581              139.36660395              3344.798495               140.36660395              1526834874.581            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9527069747E+000         1.9836650570E+000         4.1160913535E+002         4.1956972248E+002         1.2273184274E+000         1.5306339888E+000         
2018-05-20                16:47:57.668              139.36663969              3344.799352               140.36663969              1526834877.669            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9527069747E+000         1.9836211314E+000         4.1160913535E+002         4.1957513547E+002         1.2262530242E+000         1.5293529146E+000         
2018-05-20                16:47:59.322              139.36665883              3344.799812               140.36665883              1526834879.323            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9531665611E+000         1.9836211314E+000         4.1160913535E+002         4.1957513547E+002         1.2262530242E+000         1.5293529146E+000         
2018-05-20                16:48:00.255              139.36666962              3344.800071               140.36666962              1526834880.255            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9531665611E+000         1.9836211314E+000         4.1158775493E+002         4.1957513547E+002         1.2262530242E+000         1.5293529146E+000         
2018-05-20                16:48:03.348              139.36670543              3344.800930               140.36670543              1526834883.349            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9531665611E+000         1.9840627912E+000         4.1158775493E+002         4.1954684513E+002         1.2253474085E+000         1.5282639134E+000         
2018-05-20                16:48:04.892              139.36672330              3344.801359               140.36672330              1526834884.893            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9535702484E+000         1.9840627912E+000         4.1158775493E+002         4.1954684513E+002         1.2253474085E+000         1.5282639134E+000         
2018-05-20                16:48:05.828              139.36673413              3344.801619               140.36673413              1526834885.829            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9535702484E+000         1.9840627912E+000         4.1161472460E+002         4.1954684513E+002         1.2253474085E+000         1.5282639134E+000         
2018-05-20                16:48:09.078              139.36677174              3344.802522               140.36677174              1526834889.078            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9535702484E+000         1.9844573316E+000         4.1161472460E+002         4.1957033324E+002         1.2250384780E+000         1.5278924123E+000         
2018-05-20                16:48:10.640              139.36678981              3344.802956               140.36678981              1526834890.640            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9532982080E+000         1.9844573316E+000         4.1161472460E+002         4.1957033324E+002         1.2250384780E+000         1.5278924123E+000         
2018-05-20                16:48:11.585              139.36680076              3344.803218               140.36680076              1526834891.586            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9532982080E+000         1.9844573316E+000         4.1160508785E+002         4.1957033324E+002         1.2250384780E+000         1.5278924123E+000         
2018-05-20                16:48:14.799              139.36683796              3344.804111               140.36683796              1526834894.800            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9532982080E+000         1.9841766315E+000         4.1160508785E+002         4.1955938680E+002         1.2250065460E+000         1.5278540125E+000         
2018-05-20                16:48:16.493              139.36685757              3344.804582               140.36685757              1526834896.494            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9533579416E+000         1.9841766315E+000         4.1160508785E+002         4.1955938680E+002         1.2250065460E+000         1.5278540125E+000         
2018-05-20                16:48:17.438              139.36686851              3344.804844               140.36686851              1526834897.439            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9533579416E+000         1.9841766315E+000         4.1160168486E+002         4.1955938680E+002         1.2250065460E+000         1.5278540125E+000         
2018-05-20                16:48:20.838              139.36690785              3344.805788               140.36690785              1526834900.838            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9533579416E+000         1.9842382006E+000         4.1160168486E+002         4.1955614775E+002         1.2251081737E+000         1.5279762247E+000         
2018-05-20                16:48:24.131              139.36694596              3344.806703               140.36694596              1526834904.131            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9536486461E+000         1.9842382006E+000         4.1160168486E+002         4.1955614775E+002         1.2251081737E+000         1.5279762247E+000         
2018-05-20                16:48:43.000              139.36716435              3344.811944               140.36716435              1526834923.000            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9536486461E+000         1.9842382006E+000         4.1159869352E+002         4.1955614775E+002         1.2251081737E+000         1.5279762247E+000         
2018-05-20                16:48:45.595              139.36719440              3344.812666               140.36719440              1526834925.596            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9536486461E+000         1.9845308220E+000         4.1159869352E+002         4.1955240826E+002         1.2247970883E+000         1.5276021272E+000         
2018-05-20                16:48:48.855              139.36723212              3344.813571               140.36723212              1526834928.855            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9533285208E+000         1.9845308220E+000         4.1159869352E+002         4.1955240826E+002         1.2247970883E+000         1.5276021272E+000         
2018-05-20                16:49:07.658              139.36744976              3344.818794               140.36744976              1526834947.659            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9533285208E+000         1.9845308220E+000         4.1160902487E+002         4.1955240826E+002         1.2247970883E+000         1.5276021272E+000         
2018-05-20                16:49:10.204              139.36747922              3344.819501               140.36747922              1526834950.205            0                         963                       3.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9533285208E+000         1.9841930991E+000         4.1160902487E+002         4.1955970781E+002         1.2241277260E+000         1.5267971596E+000         
2018-05-20                16:49:11.818              139.36749789              3344.819949               140.36749789              1526834951.818            0                         963                       2.0000000000E+000         2.0000000000E+000         0.0000000000E+000         1.9539911886E+000         1.9841930991E+000         4.1160902487E+002         4.1955970781E+002         1.2241277260E+000         1.5267971596E+000         
